model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
14303,4,6,78,16,0.01,0,91.03139013,85.13513514,,,,,,,,,
14173,4,6,1499,16,0.0002,1.00E-05,78.47533632,83.78378378,,,,,,,,,
13190,3,36,1499,8,0.1,1.00E-06,59.64125561,82.43243243,,,,,,,,,
1347,1,12,242,4,0.0008,1.00E-06,90.13452915,81.08108108,,,,,,,,,
6192,2,6,1081,4,0.04,1.00E-05,90.58295964,81.08108108,,,,,,,,,
7569,2,12,38,16,0.008,1.00E-06,90.58295964,81.08108108,,,,,,,,,
17016,4,36,1499,8,0.08,2.00E-05,57.84753363,81.08108108,,,,,,,,,
13915,4,6,1499,4,0.1,1.00E-05,61.88340807,81.08108108,,,,,,,,,
5394,1,36,17,32,0.02,1.00E-05,91.03139013,79.72972973,,,,,,,,,
6966,2,12,875,4,0.0002,1.00E-06,90.13452915,79.72972973,,,,,,,,,
7490,2,12,293,16,0.0008,1.00E-06,90.13452915,79.72972973,,,,,,,,,
9942,3,6,140,4,0.004,0,90.13452915,79.72972973,,,,,,,,,
10219,3,6,62,8,0.008,2.00E-05,90.13452915,79.72972973,,,,,,,,,
10455,3,6,53,16,0.008,1.00E-05,90.13452915,79.72972973,,,,,,,,,
10524,3,6,1499,16,0.08,0,71.74887892,79.72972973,,,,,,,,,
11315,3,12,622,16,0.0004,1.00E-05,90.13452915,79.72972973,,,,,,,,,
11635,3,12,87,32,0.004,1.00E-05,90.13452915,79.72972973,,,,,,,,,
11727,3,12,84,32,0.08,1.00E-06,90.13452915,79.72972973,,,,,,,,,
13860,4,6,1499,4,0.02,2.00E-05,78.92376682,78.37837838,,,,,,,,,
13966,4,6,514,8,0.0008,1.00E-06,90.13452915,78.37837838,,,,,,,,,
14148,4,6,1499,8,0.1,1.00E-06,66.367713,78.37837838,,,,,,,,,
14527,4,6,241,32,0.008,1.00E-06,90.13452915,78.37837838,,,,,,,,,
336,1,6,1507,4,0.06,1.00E-06,90.13452915,78.37837838,,,,,,,,,
477,1,6,1042,8,0.001,0,90.13452915,78.37837838,,,,,,,,,
1427,1,12,36,4,0.008,1.00E-06,90.13452915,78.37837838,,,,,,,,,
2107,1,12,295,32,0.002,1.00E-06,90.58295964,78.37837838,,,,,,,,,
3284,1,24,232,8,0.0008,0,90.13452915,78.37837838,,,,,,,,,
3610,1,24,35,16,0.008,1.00E-06,90.13452915,78.37837838,,,,,,,,,
4737,1,36,62,4,0.1,2.00E-05,93.2735426,78.37837838,,,,,,,,,
5257,1,36,634,32,0.0004,2.00E-05,90.13452915,78.37837838,,,,,,,,,
6193,2,6,306,4,0.04,1.00E-05,90.13452915,78.37837838,,,,,,,,batch size,6
7726,2,12,326,32,0.0008,1.00E-06,90.13452915,78.37837838,,,,,,,,,
8195,2,24,220,8,0.0004,1.00E-05,90.13452915,78.37837838,,,,,,,,,
8504,2,24,32,16,0.004,0,90.13452915,78.37837838,,,,,,,,,
8909,2,36,134,4,0.0004,1.00E-06,90.58295964,78.37837838,,,,,,,,,
9376,2,36,420,16,0.0002,2.00E-05,90.13452915,78.37837838,,,,,,,,,
9675,2,36,116,32,0.001,1.00E-05,90.13452915,78.37837838,,,,,,,,,
10046,3,6,1499,4,0.08,1.00E-06,61.43497758,78.37837838,,,,,,,,,
10351,3,6,1499,16,0.0004,1.00E-05,86.5470852,78.37837838,,,,,,,,,
10456,3,6,1401,16,0.008,2.00E-05,91.03139013,78.37837838,,,,,,,,,
11240,3,12,628,8,0.04,2.00E-05,90.58295964,78.37837838,,,,,,,,,
11891,3,24,22,4,0.008,1.00E-05,90.58295964,78.37837838,,,,,,,,,
11936,3,24,133,4,0.02,2.00E-05,90.13452915,78.37837838,,,,,,,,,
13340,3,36,21,16,0.008,2.00E-05,91.47982063,78.37837838,,,,,,,,,
13499,3,36,155,32,0.0008,2.00E-05,90.58295964,78.37837838,,,,,,,,,
17022,4,36,1499,8,0.1,0,54.70852018,78.37837838,,,,,,,,,
928,1,6,,16,0.04,0.00E+00,90,78,,,,,,,,,
961,1,6,,16,0.08,1.00E-06,90,78,,,,,,,,,
991,1,6,,16,0.1,1.00E-05,91,78,,,,,,,,,
1021,1,6,1999,32,0.0002,2.00E-05,81,78,,,,,,,,,
1126,1,6,,32,0.004,0.00E+00,90,78,,,,,,,,,
1251,1,6,,32,0.08,0.00E+00,93,78,,,,,,,,,
13817,4,6,107,4,0.008,2.00E-05,90.58295964,77.02702703,,,,,,,,,
13881,4,6,1499,4,0.08,0,68.60986547,77.02702703,,,,,,,,,
14012,4,6,205,8,0.002,1.00E-05,90.58295964,77.02702703,,,,,,,,,
